BHK,project,Location,City,Total sqft,price_sqft,price in Lakh
2,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,694,15392,106
1,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,401,6130,24.58
1,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,440,6434,28.31
1,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,334,6571,21.95
1,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,383,6532,25.02
2,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1275,11843,151
3,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1875,11520,216
2,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1415,11660,165
4,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,3295,11562,381
3,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1890,11534,218
3,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1855,11536,214
3,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,2025,11456,232
2,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1400,11714,164
4,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,3405,11541,393
2,RKR Precious ImperialAmbernath East,Ambernath East,Mumbai,662,5392,35.69
1,RKR Precious ImperialAmbernath East,Ambernath East,Mumbai,438,5392,23.61
1,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,280,6817,19.09
1,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,278,6474,18
1,Royal HeritageVangani,Vangani,Mumbai,410,4243,17.4
1,Sai Shree Sai WoodsPalghar,Palghar,Mumbai,550,3000,16.5
2,Sai Shree Sai WoodsPalghar,Palghar,Mumbai,760,3000,22.8
1,Shree Karma HeightsVasai,Vasai,Mumbai,685,5309,36.37
2,Shree Karma HeightsVasai,Vasai,Mumbai,1100,5454,60
3,NA,Dombivali East,Mumbai,1595,9090,145
2,Reputed Builder Swapna ShilpaNo41Chembur,Chembur,Mumbai,570,19298,110
1,PNK Poonam Sagar ComplexMira Road East,Mira Road East,Mumbai,580,11896,69
2,NA,Badlapur East,Mumbai,1000,3000,30
1,Chandiwala Pearl HeightAndheri West,Andheri West,Mumbai,534,2902,15.5
1,Reputed Builder Shiv KalaVasai east,Vasai east,Mumbai,555,6306,35
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Shreedham SplendourAndheri West,Andheri West,Mumbai,246,27909,68.65
1,Shreedham SplendourAndheri West,Andheri West,Mumbai,503,27598,138
1,Shreedham SplendourAndheri West,Andheri West,Mumbai,514,27591,141
1,Shreedham SplendourAndheri West,Andheri West,Mumbai,323,25664,82.89
1,Shreedham SplendourAndheri West,Andheri West,Mumbai,237,25832,61.22
1,Shreedham SplendourAndheri West,Andheri West,Mumbai,275,25745,70.8
1,Shreedham SplendourAndheri West,Andheri West,Mumbai,216,25894,55.93
1,NA,Neral,Mumbai,460,4130,19
1,Nirmiti Rajmata ComplexBhiwandi,Bhiwandi,Mumbai,300,5333,16
1,Nirvana Wollywood Phase IIIWada,Wada,Mumbai,507,5818,29.5
2,NA,Dadar East,Mumbai,750,30000,225
1,NA,Colaba,Mumbai,635,37795,240
2,Marathon GalaxyMulund West,Mulund West,Mumbai,978,19427,190
2,Mahadev Mahadev ComplexMira Road East,Mira Road East,Mumbai,810,11111,90
2,NA,Panvel,Mumbai,887,9582,85
1,NA,Badlapur West,Mumbai,387,2971,11.5
1,Arihant ResidencySion,Sion,Mumbai,662,4229,28
2,NA,Santosh Nagar,Mumbai,860,4883,42
1,NA,Virar East,Mumbai,560,5312,29.75
2,Poddar Samruddhi EvergreensBadlapur East,Badlapur East,Mumbai,865,4161,36
1,NA,Agripada,Mumbai,765,16993,130
1,NA,Panvel,Mumbai,630,4126,26
3,NA,Gorai,Mumbai,2250,3466,78
1,Aries Aries Vangani HeightVangani,Vangani,Mumbai,450,19777,89
1,NA,Virar West,Mumbai,550,7272,40
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Raja Tirupati Balaji TowersSantacruz West,Santacruz West,Mumbai,600,41666,250
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,NA,Kalwa,Mumbai,535,8598,46
2,NA,Kalyan West,Mumbai,825,6545,54
6,Reputed Builder Vasu KamalPowai,Powai,Mumbai,2002,14985,300
3,Reputed Builder Vasu KamalPowai,Powai,Mumbai,2000,14300,286
2,NA,Goregaon East,Mumbai,854,21662,185
1,Umiya Jewel VistaBadlapur West,Badlapur West,Mumbai,695,3309,23
1,V K LAL VKLAL VISHNU PHASE IDahisar,Dahisar,Mumbai,420,16199,68.03
1,V K LAL VKLAL VISHNU PHASE IDahisar,Dahisar,Mumbai,394,16499,65
1,V K LAL VKLAL VISHNU PHASE IDahisar,Dahisar,Mumbai,316,17498,55.29
3,Rashmi HeightsNala Sopara,Nala Sopara,Mumbai,1275,5490,69.99
1,NA,Hendre Pada,Mumbai,387,3001,11.61
1,NA,Vasai West,Mumbai,560,8392,47
1,Wadhwa Evergreen HeightsThane West,Thane West,Mumbai,680,11323,77
1,NA,Mazgaon,Mumbai,350,18571,65
1,NA,Ulwe,Mumbai,385,6363,24.5
1,NA,Belapur,Mumbai,550,6363,35
1,RKR HarmonyBadlapur East,Badlapur East,Mumbai,725,3448,25
3,Mahada BungalowsBorivali West,Borivali West,Mumbai,780,10000,78
2,Platinum Balaji KalashNerul,Nerul,Mumbai,1150,15217,175
1,V K LAL VKLAL HARI PHASE IDahisar,Dahisar,Mumbai,413,18005,74.36
1,V K LAL VKLAL HARI PHASE IDahisar,Dahisar,Mumbai,353,17220,60.78
1,V K LAL VKLAL HARI PHASE IDahisar,Dahisar,Mumbai,390,17215,67.13
1,V K LAL VKLAL HARI PHASE IDahisar,Dahisar,Mumbai,406,17226,69.76
1,V K LAL VKLAL HARI PHASE IDahisar,Dahisar,Mumbai,332,17247,57.09
2,Lodha Palava Lakeshore GreensDombivali,Dombivali,Mumbai,980,5102,50
1,NA,Andheri East,Mumbai,275,20727,56.99
1,Reputed Builder Krishna NagariBorivali West,Borivali West,Mumbai,520,22115,115
1,NA,Kumbharkhan Pada,Mumbai,565,6194,35
2,NA,Mulund West,Mumbai,500,25200,126
1,NA,Badlapur East,Mumbai,650,3536,22.99
1,Braj CityMahim,Mahim,Mumbai,600,3000,18
1,Unimont AurumKarjat,Karjat,Mumbai,410,4329,17.75
2,Unimont AurumKarjat,Karjat,Mumbai,735,4285,31.5
2,Unimont AurumKarjat,Karjat,Mumbai,840,4315,36.25
1,Unimont AurumKarjat,Karjat,Mumbai,460,4619,21.25
1,Unimont AurumKarjat,Karjat,Mumbai,435,4597,20
1,Unimont AurumKarjat,Karjat,Mumbai,490,4591,22.5
1,Unimont AurumKarjat,Karjat,Mumbai,530,4622,24.5
2,Unimont AurumKarjat,Karjat,Mumbai,780,4294,33.5
2,Neelkanth Valley IIKhopoli,Khopoli,Mumbai,428,7845,33.49
1,Neelkanth Valley IIKhopoli,Khopoli,Mumbai,237,8474,19.99
3,Aditya Creations The Ocean Homes The PearlPalghar,Palghar,Mumbai,1450,4827,69.99
